ticker,timestamp,open,high,low,close,volume,bu,sd,fb,fs,fn
HT1,2025-07-25 00:00,14050.0,14800.0,14050.0,14750.0,2443918.0,1998300.0,358400.0,17234265000.0,277845000.0,16956420000.0
HT1,2025-07-28 00:00,14950.0,15000.0,14300.0,14800.0,1417846.0,562000.0,808700.0,627865000.0,916235000.0,-288370000.0
HT1,2025-07-29 00:00,14950.0,14950.0,14000.0,14150.0,1684721.0,592300.0,1040300.0,4514950000.0,353790000.0,4161160000.0
HT1,2025-07-30 00:00,14150.0,14300.0,13250.0,14300.0,1225223.0,735500.0,451400.0,7993405000.0,2408758000.0,5584647000.0
HT1,2025-07-31 00:00,14400.0,14400.0,13800.0,14200.0,538728.0,158400.0,346600.0,201050000.0,1236330000.0,-1035280000.0
HT1,2025-08-01 00:00,14250.0,14300.0,13850.0,13900.0,495916.0,171800.0,297300.0,262975000.0,325065000.0,-62090000.0
HT1,2025-08-04 00:00,14000.0,14250.0,13800.0,14200.0,577380.0,412700.0,137200.0,830090000.0,151515000.0,678575000.0
HT1,2025-08-05 00:00,14600.0,14600.0,13900.0,13900.0,1026031.0,367500.0,527900.0,286805000.0,528440000.0,-241635000.0
HT1,2025-08-06 00:00,14000.0,14850.0,13900.0,14700.0,2063137.0,1534700.0,470500.0,11593590000.0,457135000.0,11136455000.0
HT1,2025-08-07 00:00,14900.0,15700.0,14450.0,15700.0,2553190.0,1556100.0,898600.0,8391140000.0,1247725000.0,7143415000.0
HT1,2025-08-08 00:00,15700.0,16750.0,15700.0,16750.0,3755577.0,2648300.0,993100.0,22510460000.0,1139860000.0,21370600000.0
HT1,2025-08-11 00:00,17450.0,17450.0,16100.0,16400.0,1369009.0,381400.0,874300.0,2142000000.0,5478755000.0,-3336755000.0
HT1,2025-08-12 00:00,16500.0,17250.0,16200.0,17150.0,2758914.0,1762200.0,929300.0,24157025000.0,4947860000.0,19209165000.0
HT1,2025-08-13 00:00,17400.0,17400.0,16400.0,17000.0,1842215.0,622200.0,1137700.0,3341295000.0,12938980000.0,-9597685000.0
HT1,2025-08-14 00:00,16950.0,17000.0,16400.0,16700.0,1740572.0,530400.0,1106000.0,900520000.0,2847565000.0,-1947045000.0
HT1,2025-08-15 00:00,16350.0,16850.0,16100.0,16300.0,1231862.0,502000.0,660400.0,2150265000.0,2729620000.0,-579355000.0
HT1,2025-08-18 00:00,16500.0,17200.0,16500.0,17150.0,3125074.0,1594600.0,1430700.0,20196400000.0,2547765000.0,17648635000.0
HT1,2025-08-19 00:00,17850.0,17900.0,17150.0,17150.0,1952886.0,626600.0,1192600.0,1710070000.0,2729615000.0,-1019545000.0
HT1,2025-08-20 00:00,17300.0,17350.0,16300.0,16700.0,1870342.0,554100.0,1294600.0,3182650000.0,2591275000.0,591375000.0
HT1,2025-08-21 00:00,16500.0,16600.0,16100.0,16500.0,1066467.0,274600.0,691900.0,1182965000.0,5172560000.0,-3989595000.0
HT1,2025-08-22 00:00,16450.0,16450.0,15400.0,16000.0,1554304.0,495200.0,1034200.0,4480180000.0,4291630000.0,188550000.0
HT1,2025-08-25 00:00,16000.0,16450.0,16000.0,16200.0,1117023.0,701500.0,370200.0,7546415000.0,1541065000.0,6005350000.0
HT1,2025-08-26 00:00,16600.0,17150.0,16150.0,16950.0,1319275.0,857200.0,417900.0,3265705000.0,2959445000.0,306260000.0
HT1,2025-08-27 00:00,16900.0,17450.0,16600.0,17100.0,1530998.0,1020300.0,459200.0,10893705000.0,3748275000.0,7145430000.0
HT1,2025-08-28 00:00,17400.0,17400.0,16900.0,17400.0,1045220.0,656300.0,291700.0,7137115000.0,2998690000.0,4138425000.0
HT1,2025-08-29 00:00,17200.0,17900.0,16700.0,17900.0,1806311.0,912900.0,803700.0,8701115000.0,5923665000.0,2777450000.0
HTG,2025-07-21 00:00,46200.0,47450.0,46100.0,46500.0,57052.0,22800.0,33200.0,0.0,0.0,0.0
HTG,2025-07-22 00:00,46100.0,46850.0,46100.0,46850.0,12411.0,8700.0,3300.0,0.0,0.0,0.0
HTG,2025-07-23 00:00,47800.0,49000.0,47000.0,47200.0,66887.0,21600.0,38600.0,0.0,0.0,0.0
HTG,2025-07-24 00:00,49000.0,49600.0,48100.0,48750.0,142689.0,66400.0,57100.0,0.0,0.0,0.0
HTG,2025-07-25 00:00,49000.0,49050.0,48000.0,48400.0,19500.0,5100.0,11700.0,0.0,0.0,0.0
HTG,2025-07-28 00:00,48500.0,49950.0,48000.0,48450.0,77247.0,64100.0,12000.0,0.0,0.0,0.0
